City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,3.82,91,90,4.34,CL,1701513791
1,whitehorse,60.7161,-135.0538,-10.57,92,100,3.09,CA,1701513791
2,kununurra,-15.7667,128.7333,32.99,43,60,3.09,AU,1701513792
3,ushuaia,-54.8,-68.3,4.81,81,75,7.2,AR,1701513782
4,puerto aysen,-45.4,-72.7,4.67,99,94,2.38,CL,1701513793
5,aykhal,66.0,111.5,-33.35,100,100,2.55,RU,1701513793
6,lompoc,34.6391,-120.4579,9.96,70,0,4.92,US,1701513794
7,aasiaat,68.7098,-52.8699,-12.22,85,60,3.48,GL,1701513794
8,namibe,-15.1961,12.1522,24.66,74,100,4.53,AO,1701513794
9,port douglas,-16.4833,145.4667,26.17,84,89,1.96,AU,1701513795
10,olonkinbyen,70.9221,-8.7187,-1.67,65,57,5.71,SJ,1701513795
11,papatowai,-46.5619,169.4708,12.23,91,100,1.78,NZ,1701513796
12,port macquarie,-31.4333,152.9167,20.5,89,91,1.4,AU,1701513796
13,iqaluit,63.7506,-68.5145,-6.15,62,100,6.71,CA,1701513797
14,isangel,-19.55,169.2667,24.46,81,30,3.7,VU,1701513797
15,st. john's,47.5649,-52.7093,5.54,96,75,4.63,CA,1701513797
16,thompson,55.7435,-97.8558,-11.91,85,100,1.03,CA,1701513798
17,haiku-pauwela,20.9219,-156.3051,23.36,86,20,3.09,US,1701513798
18,port-aux-francais,-49.35,70.2167,5.04,89,100,12.52,TF,1701513799
19,adamstown,-25.066,-130.1015,21.75,86,5,6.28,PN,1701513799
20,burao,9.5221,45.5336,24.98,37,80,9.67,SO,1701513800
21,blackmans bay,-43.0167,147.3167,15.07,81,100,1.35,AU,1701513800
22,mar del plata,-38.0023,-57.5575,20.85,92,0,4.92,AR,1701513800
23,metlili chaamba,32.2667,3.6333,18.52,30,77,4.12,DZ,1701513801
24,nemuro,43.3236,145.575,0.5,54,27,4.57,JP,1701513801
25,bredasdorp,-34.5322,20.0403,22.49,53,82,5.66,ZA,1701513802
26,anadyr,64.75,177.4833,-20.0,83,40,2.68,RU,1701513802
27,longyearbyen,78.2186,15.6401,-8.09,73,20,8.75,SJ,1701513631
28,hasaki,35.7333,140.8333,9.22,53,11,4.31,JP,1701513803
29,grytviken,-54.2811,-36.5092,3.3,58,100,0.67,GS,1701513804
30,hawaiian paradise park,19.5933,-154.9731,22.24,97,75,0.0,US,1701513804
31,yellowknife,62.456,-114.3525,-17.71,85,100,4.12,CA,1701513606
32,medicine hat,50.0501,-110.6683,-2.45,77,0,4.12,CA,1701513805
33,rehoboth,-23.3167,17.0833,28.12,38,97,2.02,NA,1701513805
34,adrar,20.5022,-10.0711,26.6,17,99,2.21,MR,1701513806
